LMODE NFREQ       PERIOD(S)     FREQUENCY(Hz)           C(KM/S)
    0   178    6.481012658       0.1542968750        3.546249898    
    0   179    6.564102564       0.1523437500        3.547869885    
    0   180    6.649350649       0.1503906250        3.549540557    
    0   181    6.736842105       0.1484375000        3.551264148    
    0   182    6.826666667       0.1464843750        3.553043026    
    0   183    6.918918919       0.1445312500        3.554879695    
    0   184    7.013698630       0.1425781250        3.556776812    
    0   185    7.111111111       0.1406250000        3.558737193    
    0   186    7.211267606       0.1386718750        3.560763829    
    0   187    7.314285714       0.1367187500        3.562859897    
    0   188    7.420289855       0.1347656250        3.565028775    
    0   189    7.529411765       0.1328125000        3.567274057    
    0   190    7.641791045       0.1308593750        3.569599572    
    0   191    7.757575758       0.1289062500        3.572009403    
    0   192    7.876923077       0.1269531250        3.574507903    
    0   193    8.000000000       0.1250000000        3.577099724    
    0   194    8.126984127       0.1230468750        3.579789836    
    0   195    8.258064516       0.1210937500        3.582583558    
    0   196    8.393442623       0.1191406250        3.585486585    
    0   197    8.533333333       0.1171875000        3.588505023    
    0   198    8.677966102       0.1152343750        3.591645422    
    0   199    8.827586207       0.1132812500        3.594914817    
    0   200    8.982456140       0.1113281250        3.598320773    
    0   201    9.142857143       0.1093750000        3.601871429    
    0   202    9.309090909       0.1074218750        3.605575556    
    0   203    9.481481481       0.1054687500        3.609442608    
    0   204    9.660377358       0.1035156250        3.613482795    
    0   205    9.846153846       0.1015625000        3.617707148    
    0   206    10.03921569       0.9960937500E-01    3.622127599    
    0   207    10.24000000       0.9765625000E-01    3.626757069    
    0   208    10.44897959       0.9570312500E-01    3.631609565    
    0   209    10.66666667       0.9375000000E-01    3.636700284    
    0   210    10.89361702       0.9179687500E-01    3.642045731    
    0   211    11.13043478       0.8984375000E-01    3.647663854    
    0   212    11.37777778       0.8789062500E-01    3.653574180    
    0   213    11.63636364       0.8593750000E-01    3.659797980    
    0   214    11.90697674       0.8398437500E-01    3.666358441    
    0   215    12.19047619       0.8203125000E-01    3.673280858    
    0   216    12.48780488       0.8007812500E-01    3.680592844    
    0   217    12.80000000       0.7812500000E-01    3.688324560    
    0   218    13.12820513       0.7617187500E-01    3.696508962    
    0   219    13.47368421       0.7421875000E-01    3.705182071    
    0   220    13.83783784       0.7226562500E-01    3.714383253    
    0   221    14.22222222       0.7031250000E-01    3.724155522    
    0   222    14.62857143       0.6835937500E-01    3.734545845    
    0   223    15.05882353       0.6640625000E-01    3.745605452    
    0   224    15.51515152       0.6445312500E-01    3.757390130    
    0   225    16.00000000       0.6250000000E-01    3.769960490    
    0   226    16.51612903       0.6054687500E-01    3.783382170    
    0   227    17.06666667       0.5859375000E-01    3.797725948    
    0   228    17.65517241       0.5664062500E-01    3.813067699    
    0   229    18.28571429       0.5468750000E-01    3.829488141    
    0   230    18.96296296       0.5273437500E-01    3.847072264    
    0   231    19.69230769       0.5078125000E-01    3.865908333    
    0   232    20.48000000       0.4882812500E-01    3.886086310    
    0   233    21.33333333       0.4687500000E-01    3.907695534    
    0   234    22.26086957       0.4492187500E-01    3.930821450    
    0   235    23.27272727       0.4296875000E-01    3.955541218    
    0   236    24.38095238       0.4101562500E-01    3.981918049    
    0   237    25.60000000       0.3906250000E-01    4.009994249    
    0   238    26.94736842       0.3710937500E-01    4.039783185    
    0   239    28.44444444       0.3515625000E-01    4.071260746    
    0   240    30.11764706       0.3320312500E-01    4.104357432    
    0   241    32.00000000       0.3125000000E-01    4.138952941    
    0   242    34.13333333       0.2929687500E-01    4.174875970    
    0   243    36.57142857       0.2734375000E-01    4.211912804    
    0   244    39.38461538       0.2539062500E-01    4.249828918    
    0   245    42.66666667       0.2343750000E-01    4.288408104    
    0   246    46.54545455       0.2148437500E-01    4.327513501    
    0   247    51.20000000       0.1953125000E-01    4.367175408    
    0   248    56.88888889       0.1757812500E-01    4.407715034    
    0   249    64.00000000       0.1562500000E-01    4.449928696    
    0   250    73.14285714       0.1367187500E-01    4.495399051    
    0   251    85.33333333       0.1171875000E-01    4.547107129    
    0   252    102.4000000       0.9765625000E-02    4.610815356    
    0   253    128.0000000       0.7812500000E-02    4.698675645    
    0   254    170.6666667       0.5859375000E-02    4.840657105    
    0   255    256.0000000       0.3906250000E-02    5.132357374    
    0   256    512.0000000       0.1953125000E-02    5.995958588    
    0   257    51200.00114       0.1953124956E-04    7.786520645    
    1     1    2.000000000       0.5000000000        3.565389910    
    1     2    2.007843137       0.4980468750        3.566117560    
    1     3    2.015748031       0.4960937500        3.566853107    
    1     4    2.023715415       0.4941406250        3.567596665    
    1     5    2.031746032       0.4921875000        3.568348349    
    1     6    2.039840637       0.4902343750        3.569108275    
    1     7    2.048000000       0.4882812500        3.569876559    
    1     8    2.056224900       0.4863281250        3.570653324    
    1     9    2.064516129       0.4843750000        3.571438691    
    1    10    2.072874494       0.4824218750        3.572232784    
    1    11    2.081300813       0.4804687500        3.573035730    
    1    12    2.089795918       0.4785156250        3.573847658    
    1    13    2.098360656       0.4765625000        3.574668699    
    1    14    2.106995885       0.4746093750        3.575498986    
    1    15    2.115702479       0.4726562500        3.576338655    
    1    16    2.124481328       0.4707031250        3.577187843    
    1    17    2.133333333       0.4687500000        3.578046692    
    1    18    2.142259414       0.4667968750        3.578915344    
    1    19    2.151260504       0.4648437500        3.579793945    
    1    20    2.160337553       0.4628906250        3.580682641    
    1    21    2.169491525       0.4609375000        3.581581585    
    1    22    2.178723404       0.4589843750        3.582490929    
    1    23    2.188034188       0.4570312500        3.583410830    
    1    24    2.197424893       0.4550781250        3.584341445    
    1    25    2.206896552       0.4531250000        3.585282937    
    1    26    2.216450216       0.4511718750        3.586235469    
    1    27    2.226086957       0.4492187500        3.587199210    
    1    28    2.235807860       0.4472656250        3.588174330    
    1    29    2.245614035       0.4453125000        3.589161001    
    1    30    2.255506608       0.4433593750        3.590159400    
    1    31    2.265486726       0.4414062500        3.591169708    
    1    32    2.275555556       0.4394531250        3.592192106    
    1    33    2.285714286       0.4375000000        3.593226781    
    1    34    2.295964126       0.4355468750        3.594273922    
    1    35    2.306306306       0.4335937500        3.595333722    
    1    36    2.316742081       0.4316406250        3.596406377    
    1    37    2.327272727       0.4296875000        3.597492087    
    1    38    2.337899543       0.4277343750        3.598591056    
    1    39    2.348623853       0.4257812500        3.599703490    
    1    40    2.359447005       0.4238281250        3.600829600    
    1    41    2.370370370       0.4218750000        3.601969601    
    1    42    2.381395349       0.4199218750        3.603123711    
    1    43    2.392523364       0.4179687500        3.604292153    
    1    44    2.403755869       0.4160156250        3.605475152    
    1    45    2.415094340       0.4140625000        3.606672939    
    1    46    2.426540284       0.4121093750        3.607885749    
    1    47    2.438095238       0.4101562500        3.609113820    
    1    48    2.449760766       0.4082031250        3.610357396    
    1    49    2.461538462       0.4062500000        3.611616724    
    1    50    2.473429952       0.4042968750        3.612892054    
    1    51    2.485436893       0.4023437500        3.614183645    
    1    52    2.497560976       0.4003906250        3.615491757    
    1    53    2.509803922       0.3984375000        3.616816655    
    1    54    2.522167488       0.3964843750        3.618158609    
    1    55    2.534653465       0.3945312500        3.619517896    
    1    56    2.547263682       0.3925781250        3.620894794    
    1    57    2.560000000       0.3906250000        3.622289589    
    1    58    2.572864322       0.3886718750        3.623702571    
    1    59    2.585858586       0.3867187500        3.625134035    
    1    60    2.598984772       0.3847656250        3.626584282    
    1    61    2.612244898       0.3828125000        3.628053617    
    1    62    2.625641026       0.3808593750        3.629542351    
    1    63    2.639175258       0.3789062500        3.631050801    
    1    64    2.652849741       0.3769531250        3.632579289    
    1    65    2.666666667       0.3750000000        3.634128142    
    1    66    2.680628272       0.3730468750        3.635697695    
    1    67    2.694736842       0.3710937500        3.637288285    
    1    68    2.708994709       0.3691406250        3.638900259    
    1    69    2.723404255       0.3671875000        3.640533968    
    1    70    2.737967914       0.3652343750        3.642189767    
    1    71    2.752688172       0.3632812500        3.643868021    
    1    72    2.767567568       0.3613281250        3.645569098    
    1    73    2.782608696       0.3593750000        3.647293375    
    1    74    2.797814208       0.3574218750        3.649041233    
    1    75    2.813186813       0.3554687500        3.650813060    
    1    76    2.828729282       0.3535156250        3.652609251    
    1    77    2.844444444       0.3515625000        3.654430207    
    1    78    2.860335196       0.3496093750        3.656276337    
    1    79    2.876404494       0.3476562500        3.658148055    
    1    80    2.892655367       0.3457031250        3.660045783    
    1    81    2.909090909       0.3437500000        3.661969948    
    1    82    2.925714286       0.3417968750        3.663920988    
    1    83    2.942528736       0.3398437500        3.665899342    
    1    84    2.959537572       0.3378906250        3.667905462    
    1    85    2.976744186       0.3359375000        3.669939804    
    1    86    2.994152047       0.3339843750        3.672002832    
    1    87    3.011764706       0.3320312500        3.674095017    
    1    88    3.029585799       0.3300781250        3.676216837    
    1    89    3.047619048       0.3281250000        3.678368779    
    1    90    3.065868263       0.3261718750        3.680551336    
    1    91    3.084337349       0.3242187500        3.682765010    
    1    92    3.103030303       0.3222656250        3.685010311    
    1    93    3.121951220       0.3203125000        3.687287754    
    1    94    3.141104294       0.3183593750        3.689597866    
    1    95    3.160493827       0.3164062500        3.691941178    
    1    96    3.180124224       0.3144531250        3.694318234    
    1    97    3.200000000       0.3125000000        3.696729581    
    1    98    3.220125786       0.3105468750        3.699175778    
    1    99    3.240506329       0.3085937500        3.701657392    
    1   100    3.261146497       0.3066406250        3.704174999    
    1   101    3.282051282       0.3046875000        3.706729182    
    1   102    3.303225806       0.3027343750        3.709320535    
    1   103    3.324675325       0.3007812500        3.711949662    
    1   104    3.346405229       0.2988281250        3.714617174    
    1   105    3.368421053       0.2968750000        3.717323695    
    1   106    3.390728477       0.2949218750        3.720069857    
    1   107    3.413333333       0.2929687500        3.722856304    
    1   108    3.436241611       0.2910156250        3.725683690    
    1   109    3.459459459       0.2890625000        3.728552680    
    1   110    3.482993197       0.2871093750        3.731463952    
    1   111    3.506849315       0.2851562500        3.734418195    
    1   112    3.531034483       0.2832031250        3.737416113    
    1   113    3.555555556       0.2812500000        3.740458421    
    1   114    3.580419580       0.2792968750        3.743545849    
    1   115    3.605633803       0.2773437500        3.746679145    
    1   116    3.631205674       0.2753906250        3.749859067    
    1   117    3.657142857       0.2734375000        3.753086395    
    1   118    3.683453237       0.2714843750        3.756361925    
    1   119    3.710144928       0.2695312500        3.759686471    
    1   120    3.737226277       0.2675781250        3.763060868    
    1   121    3.764705882       0.2656250000        3.766485973    
    1   122    3.792592593       0.2636718750        3.769962665    
    1   123    3.820895522       0.2617187500        3.773491848    
    1   124    3.849624060       0.2597656250        3.777074454    
    1   125    3.878787879       0.2578125000        3.780711439    
    1   126    3.908396947       0.2558593750        3.784403795    
    1   127    3.938461538       0.2539062500        3.788152541    
    1   128    3.968992248       0.2519531250        3.791958734    
    1   129    4.000000000       0.2500000000        3.795823468    
    1   130    4.031496063       0.2480468750        3.799747876    
    1   131    4.063492063       0.2460937500        3.803733136    
    1   132    4.096000000       0.2441406250        3.807780469    
    1   133    4.129032258       0.2421875000        3.811891149    
    1   134    4.162601626       0.2402343750        3.816066501    
    1   135    4.196721311       0.2382812500        3.820307906    
    1   136    4.231404959       0.2363281250        3.824616809    
    1   137    4.266666667       0.2343750000        3.828994715    
    1   138    4.302521008       0.2324218750        3.833443204    
    1   139    4.338983051       0.2304687500        3.837963925    
    1   140    4.376068376       0.2285156250        3.842558608    
    1   141    4.413793103       0.2265625000        3.847229067    
    1   142    4.452173913       0.2246093750        3.851977205    
    1   143    4.491228070       0.2226562500        3.856805020    
    1   144    4.530973451       0.2207031250        3.861714609    
    1   145    4.571428571       0.2187500000        3.866708177    
    1   146    4.612612613       0.2167968750        3.871788040    
    1   147    4.654545455       0.2148437500        3.876956634    
    1   148    4.697247706       0.2128906250        3.882216521    
    1   149    4.740740741       0.2109375000        3.887570393    
    1   150    4.785046729       0.2089843750        3.893021082    
    1   151    4.830188679       0.2070312500        3.898571565    
    1   152    4.876190476       0.2050781250        3.904224974    
    1   153    4.923076923       0.2031250000        3.909984598    
    1   154    4.970873786       0.2011718750        3.915853895    
    1   155    5.019607843       0.1992187500        3.921836497    
    1   156    5.069306931       0.1972656250        3.927936217    
    1   157    5.120000000       0.1953125000        3.934157059    
    1   158    5.171717172       0.1933593750        3.940503219    
    1   159    5.224489796       0.1914062500        3.946979098    
    1   160    5.278350515       0.1894531250        3.953589306    
    1   161    5.333333333       0.1875000000        3.960338667    
    1   162    5.389473684       0.1855468750        3.967232227    
    1   163    5.446808511       0.1835937500        3.974275257    
    1   164    5.505376344       0.1816406250        3.981473260    
    1   165    5.565217391       0.1796875000        3.988831969    
    1   166    5.626373626       0.1777343750        3.996357357    
    1   167    5.688888889       0.1757812500        4.004055630    
    1   168    5.752808989       0.1738281250        4.011933232    
    1   169    5.818181818       0.1718750000        4.019996838    
    1   170    5.885057471       0.1699218750        4.028253350    
    1   171    5.953488372       0.1679687500        4.036709888    
    1   172    6.023529412       0.1660156250        4.045373777    
    1   173    6.095238095       0.1640625000        4.054252532    
    1   174    6.168674699       0.1621093750        4.063353833    
    1   175    6.243902439       0.1601562500        4.072685502    
    1   176    6.320987654       0.1582031250        4.082255461    
    1   177    6.400000000       0.1562500000        4.092071692    
    1   178    6.481012658       0.1542968750        4.102142182    
    1   179    6.564102564       0.1523437500        4.112474857    
    1   180    6.649350649       0.1503906250        4.123077499    
    1   181    6.736842105       0.1484375000        4.133957654    
    1   182    6.826666667       0.1464843750        4.145122509    
    1   183    6.918918919       0.1445312500        4.156578761    
    1   184    7.013698630       0.1425781250        4.168332445    
    1   185    7.111111111       0.1406250000        4.180388746    
    1   186    7.211267606       0.1386718750        4.192751769    
    1   187    7.314285714       0.1367187500        4.205424271    
    1   188    7.420289855       0.1347656250        4.218407352    
    1   189    7.529411765       0.1328125000        4.231700099    
    1   190    7.641791045       0.1308593750        4.245299173    
    1   191    7.757575758       0.1289062500        4.259198346    
    1   192    7.876923077       0.1269531250        4.273387973    
    1   193    8.000000000       0.1250000000        4.287854412    
    1   194    8.126984127       0.1230468750        4.302579383    
    1   195    8.258064516       0.1210937500        4.317539285    
    1   196    8.393442623       0.1191406250        4.332704480    
    1   197    8.533333333       0.1171875000        4.348038579    
    1   198    8.677966102       0.1152343750        4.363497752    
    1   199    8.827586207       0.1132812500        4.379030145    
    1   200    8.982456140       0.1113281250        4.394575455    
    1   201    9.142857143       0.1093750000        4.410064781    
    1   202    9.309090909       0.1074218750        4.425420886    
    1   203    9.481481481       0.1054687500        4.440558998    
    1   204    9.660377358       0.1035156250        4.455388354    
    1   205    9.846153846       0.1015625000        4.469814631    
    1   206    10.03921569       0.9960937500E-01    4.483743396    
    1   207    10.24000000       0.9765625000E-01    4.497084592    
    1   208    10.44897959       0.9570312500E-01    4.509757900    
    1   209    10.66666667       0.9375000000E-01    4.521698519    
    1   210    10.89361702       0.9179687500E-01    4.532862618    
    1   211    11.13043478       0.8984375000E-01    4.543231468    
    1   212    11.37777778       0.8789062500E-01    4.552813289    
    1   213    11.63636364       0.8593750000E-01    4.561642212    
    1   214    11.90697674       0.8398437500E-01    4.569774478    
    1   215    12.19047619       0.8203125000E-01    4.577282673    
    1   216    12.48780488       0.8007812500E-01    4.584249275    
    1   217    12.80000000       0.7812500000E-01    4.590760697    
    1   218    13.12820513       0.7617187500E-01    4.596902645    
    1   219    13.47368421       0.7421875000E-01    4.602757090    
    1   220    13.83783784       0.7226562500E-01    4.608400729    
    1   221    14.22222222       0.7031250000E-01    4.613904632    
    1   222    14.62857143       0.6835937500E-01    4.619334702    
    1   223    15.05882353       0.6640625000E-01    4.624752656    
    1   224    15.51515152       0.6445312500E-01    4.630217281    
    1   225    16.00000000       0.6250000000E-01    4.635785871    
    1   226    16.51612903       0.6054687500E-01    4.641515744    
    1   227    17.06666667       0.5859375000E-01    4.647465864    
    1   228    17.65517241       0.5664062500E-01    4.653698572    
    1   229    18.28571429       0.5468750000E-01    4.660281497    
    1   230    18.96296296       0.5273437500E-01    4.667289723    
    1   231    19.69230769       0.5078125000E-01    4.674808318    
    1   232    20.48000000       0.4882812500E-01    4.682935384    
    1   233    21.33333333       0.4687500000E-01    4.691785788    
    1   234    22.26086957       0.4492187500E-01    4.701495839    
    1   235    23.27272727       0.4296875000E-01    4.712229216    
    1   236    24.38095238       0.4101562500E-01    4.724184595    
    1   237    25.60000000       0.3906250000E-01    4.737605567    
    1   238    26.94736842       0.3710937500E-01    4.752793672    
    1   239    28.44444444       0.3515625000E-01    4.770125766    
    1   240    30.11764706       0.3320312500E-01    4.790077479    
    1   241    32.00000000       0.3125000000E-01    4.813255494    
    1   242    34.13333333       0.2929687500E-01    4.840443024    
    1   243    36.57142857       0.2734375000E-01    4.872665592    
    1   244    39.38461538       0.2539062500E-01    4.911288896    
    1   245    42.66666667       0.2343750000E-01    4.958167724    
    1   246    46.54545455       0.2148437500E-01    5.015874921    
    1   247    51.20000000       0.1953125000E-01    5.088050942    
    1   248    56.88888889       0.1757812500E-01    5.179925158    
    1   249    64.00000000       0.1562500000E-01    5.299084994    
    1   250    73.14285714       0.1367187500E-01    5.456756630    
    1   251    85.33333333       0.1171875000E-01    5.670876120    
    1   252    102.4000000       0.9765625000E-02    5.975258224    
    1   253    128.0000000       0.7812500000E-02    6.440777450    
    1   254    170.6666667       0.5859375000E-02    7.187638761    
    1   255    256.0000000       0.3906250000E-02    8.431643575    
    1   256    512.0000000       0.1953125000E-02    12.22085571    
    2     1    2.000000000       0.5000000000        3.750450706    
    2     2    2.007843137       0.4980468750        3.752439330    
    2     3    2.015748031       0.4960937500        3.754445029    
    2     4    2.023715415       0.4941406250        3.756467860    
    2     5    2.031746032       0.4921875000        3.758507875    
    2     6    2.039840637       0.4902343750        3.760565117    
    2     7    2.048000000       0.4882812500        3.762639624    
    2     8    2.056224900       0.4863281250        3.764731426    
    2     9    2.064516129       0.4843750000        3.766840545    
    2    10    2.072874494       0.4824218750        3.768966993    
    2    11    2.081300813       0.4804687500        3.771110776    
    2    12    2.089795918       0.4785156250        3.773271890    
    2    13    2.098360656       0.4765625000        3.775450320    
    2    14    2.106995885       0.4746093750        3.777646044    
    2    15    2.115702479       0.4726562500        3.779859026    
    2    16    2.124481328       0.4707031250        3.782089223    
    2    17    2.133333333       0.4687500000        3.784336579    
    2    18    2.142259414       0.4667968750        3.786601025    
    2    19    2.151260504       0.4648437500        3.788882483    
    2    20    2.160337553       0.4628906250        3.791180860    
    2    21    2.169491525       0.4609375000        3.793496053    
    2    22    2.178723404       0.4589843750        3.795827945    
    2    23    2.188034188       0.4570312500        3.798176404    
    2    24    2.197424893       0.4550781250        3.800541288    
    2    25    2.206896552       0.4531250000        3.802922438    
    2    26    2.216450216       0.4511718750        3.805319684    
    2    27    2.226086957       0.4492187500        3.807732840    
    2    28    2.235807860       0.4472656250        3.810161708    
    2    29    2.245614035       0.4453125000        3.812606076    
    2    30    2.255506608       0.4433593750        3.815065716    
    2    31    2.265486726       0.4414062500        3.817540389    
